               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1088,            0.039503,            0.025116,            0.075776,             0.17164,            0.040139,           0.0075043,            0.082802,            0.035011,              0.0207,             0.00145,             0.00145,             0.08695
                   1,            0.075992,            0.038293,            0.019467,             0.73483,             0.27904,             0.27211,            0.077472,            0.060338,            0.025242,            0.019265,           0.0029074,           0.0029074,            0.073807
                   2,            0.067226,            0.033056,            0.017288,             0.29643,              0.5835,             0.41968,             0.14206,             0.05662,            0.023205,            0.015107,           0.0043545,           0.0043545,            0.060654
                   3,            0.064808,            0.030393,            0.012569,             0.47106,             0.52463,             0.46455,              0.1748,            0.057842,            0.021011,            0.011158,           0.0057835,           0.0057835,            0.047484
                   4,            0.062587,            0.029865,           0.0089864,              0.5667,             0.53399,              0.5422,             0.20368,            0.053847,            0.020434,           0.0091212,           0.0071869,           0.0071869,            0.034287
                   5,            0.060549,            0.028427,           0.0077531,             0.45194,             0.65719,             0.49496,             0.20003,            0.049585,            0.020229,            0.010958,           0.0085573,           0.0085573,            0.021057
                   6,            0.056573,            0.028095,           0.0069305,             0.57443,              0.6472,             0.59302,              0.2395,            0.045545,            0.020765,            0.009536,            0.009684,            0.009684,            0.009684
                   7,            0.051894,            0.027442,           0.0064726,             0.85076,             0.68705,             0.76699,             0.35022,            0.039101,            0.019625,           0.0070928,            0.009684,            0.009684,            0.009684
                   8,            0.048428,            0.028428,           0.0057843,             0.84688,             0.73343,              0.7894,             0.36517,            0.037383,            0.018857,           0.0073879,           0.0095717,           0.0095717,           0.0095717
                   9,            0.043826,            0.026928,           0.0054884,             0.88578,             0.74717,             0.81949,             0.40364,            0.036571,            0.018905,           0.0059497,           0.0094434,           0.0094434,           0.0094434
                  10,             0.04249,            0.027079,           0.0052565,             0.85032,             0.71253,             0.75958,             0.35426,             0.04081,            0.019009,           0.0068766,           0.0092995,           0.0092995,           0.0092995
                  11,            0.042564,            0.027002,           0.0046575,             0.85652,             0.75992,             0.82578,             0.42233,             0.03554,            0.018841,           0.0067059,           0.0091406,           0.0091406,           0.0091406
                  12,            0.040336,            0.025192,           0.0042588,             0.84595,             0.79761,              0.8382,             0.40616,            0.035863,            0.018412,           0.0050578,           0.0089673,           0.0089673,           0.0089673
                  13,            0.038505,            0.025893,           0.0041783,             0.85094,             0.77993,             0.81548,             0.40408,             0.03663,             0.01859,           0.0049714,           0.0087804,           0.0087804,           0.0087804
                  14,            0.038334,            0.025952,           0.0039173,               0.842,             0.79002,             0.81255,             0.37613,            0.037899,            0.018966,            0.004729,           0.0085805,           0.0085805,           0.0085805
                  15,            0.038263,            0.026162,           0.0042165,             0.88086,             0.75745,             0.82481,             0.41564,            0.034885,            0.019302,           0.0050803,           0.0083684,           0.0083684,           0.0083684
                  16,            0.036564,            0.024982,           0.0034377,             0.86674,              0.8281,             0.86332,             0.44929,            0.033806,            0.018154,           0.0043503,            0.008145,            0.008145,            0.008145
                  17,            0.036454,            0.025345,           0.0036479,             0.87293,               0.799,             0.84973,             0.44701,            0.033417,            0.018316,           0.0044326,           0.0079112,           0.0079112,           0.0079112
                  18,            0.036357,            0.024709,           0.0032474,             0.86565,             0.79926,             0.83962,             0.44013,            0.033982,            0.018623,           0.0047803,           0.0076679,           0.0076679,           0.0076679
                  19,            0.034501,            0.024875,           0.0027066,             0.87161,             0.80518,             0.85743,             0.46121,            0.032663,            0.017947,           0.0045678,            0.007416,            0.007416,            0.007416
                  20,            0.034148,            0.024618,            0.002811,             0.81704,             0.79593,             0.82455,             0.40536,            0.037135,            0.020254,           0.0047283,           0.0071566,           0.0071566,           0.0071566
                  21,            0.033374,             0.02433,           0.0031769,             0.83553,             0.81721,             0.84668,             0.45249,            0.032775,            0.018524,           0.0048563,           0.0068906,           0.0068906,           0.0068906
                  22,            0.032855,            0.022929,            0.002838,              0.9038,             0.77403,             0.85321,              0.4439,            0.033688,            0.017941,            0.003942,           0.0066191,           0.0066191,           0.0066191
                  23,            0.032782,            0.022194,           0.0029192,             0.88837,             0.80701,             0.84685,             0.45966,            0.032637,            0.018063,           0.0036735,           0.0063432,           0.0063432,           0.0063432
                  24,            0.032821,            0.024587,           0.0030695,             0.85771,             0.82074,             0.85454,             0.45635,            0.033632,            0.018095,           0.0037983,            0.006064,            0.006064,            0.006064
                  25,            0.032648,            0.023106,           0.0024881,             0.88511,             0.80396,             0.85712,             0.47035,            0.032432,            0.018175,           0.0041597,           0.0057826,           0.0057826,           0.0057826
                  26,            0.031075,            0.022525,           0.0022691,             0.86899,             0.82098,             0.85846,             0.46418,            0.032326,            0.017908,           0.0036814,              0.0055,              0.0055,              0.0055
                  27,            0.031105,            0.023351,           0.0024166,             0.89634,             0.80749,             0.85757,             0.46831,            0.032646,            0.018134,           0.0031378,           0.0052174,           0.0052174,           0.0052174
                  28,            0.031317,            0.023337,           0.0023005,             0.86874,             0.82463,             0.86039,             0.46933,            0.032782,            0.018126,           0.0039572,            0.004936,            0.004936,            0.004936
                  29,            0.030089,            0.022894,            0.002498,              0.9089,              0.7979,             0.86483,             0.46255,            0.032855,            0.018145,            0.003844,           0.0046568,           0.0046568,           0.0046568
                  30,            0.030463,            0.023373,           0.0021905,             0.88011,             0.79751,              0.8513,             0.46672,            0.031568,            0.018033,           0.0044708,           0.0043809,           0.0043809,           0.0043809
                  31,             0.02947,            0.022549,            0.002073,             0.91151,              0.7949,             0.85324,             0.46499,            0.031979,             0.01801,           0.0041169,           0.0041094,           0.0041094,           0.0041094
                  32,            0.029209,             0.02189,           0.0022626,             0.89147,             0.81357,             0.85228,             0.46667,            0.031846,            0.018039,           0.0039788,           0.0038434,           0.0038434,           0.0038434
                  33,            0.029022,            0.021426,           0.0018855,             0.89503,             0.81138,             0.85135,             0.47495,            0.031703,            0.017756,           0.0039335,            0.003584,            0.003584,            0.003584
                  34,            0.028877,            0.021082,           0.0018594,             0.89607,             0.79539,             0.85425,             0.47814,             0.03146,            0.017804,            0.003717,           0.0033321,           0.0033321,           0.0033321
                  35,            0.028308,            0.021821,           0.0016956,             0.87583,             0.81754,             0.85619,             0.47227,            0.031576,            0.017881,           0.0040032,           0.0030888,           0.0030888,           0.0030888
                  36,            0.028366,            0.021122,           0.0018596,             0.88931,              0.8097,             0.84194,             0.46247,            0.032254,            0.018514,           0.0037877,            0.002855,            0.002855,            0.002855
                  37,            0.027713,            0.020367,           0.0017357,             0.87947,             0.81263,             0.85395,             0.47469,            0.031235,            0.017951,           0.0037738,           0.0026316,           0.0026316,           0.0026316
                  38,            0.028068,            0.021625,           0.0018194,             0.89007,             0.82292,             0.86872,             0.47661,            0.031472,            0.017906,           0.0038969,           0.0024195,           0.0024195,           0.0024195
                  39,            0.027046,            0.020293,           0.0014234,             0.86923,             0.81995,             0.85313,             0.47815,            0.031422,            0.017805,           0.0039931,           0.0022196,           0.0022196,           0.0022196
                  40,            0.027177,            0.020426,           0.0014571,             0.91142,              0.7933,             0.85464,             0.47859,            0.031269,            0.017802,           0.0041581,           0.0020327,           0.0020327,           0.0020327
                  41,            0.027234,             0.02112,           0.0015557,             0.89224,             0.81803,             0.85387,             0.48323,            0.030473,            0.017723,           0.0041954,           0.0018594,           0.0018594,           0.0018594
                  42,            0.027098,            0.019839,           0.0014082,             0.89802,             0.82658,             0.86673,             0.47571,            0.030862,            0.017829,            0.004303,           0.0017005,           0.0017005,           0.0017005
                  43,            0.026629,            0.020877,           0.0014421,             0.90803,             0.80448,             0.86503,             0.49064,            0.030554,              0.0177,           0.0040248,           0.0015566,           0.0015566,           0.0015566
                  44,            0.026861,            0.021299,           0.0014717,             0.89904,             0.81532,             0.85805,             0.47808,             0.03152,            0.018222,           0.0040468,           0.0014283,           0.0014283,           0.0014283
                  45,            0.026574,            0.020222,            0.001418,             0.90066,             0.81633,             0.85703,             0.47811,            0.030642,            0.017814,           0.0037583,            0.001316,            0.001316,            0.001316
                  46,            0.026332,            0.020654,            0.001462,             0.86272,              0.8377,             0.85806,             0.47559,            0.030825,            0.017871,           0.0039724,           0.0012202,           0.0012202,           0.0012202
                  47,            0.025927,            0.019858,           0.0013142,             0.91038,             0.80569,             0.86191,             0.47663,            0.030924,            0.018104,           0.0041725,           0.0011414,           0.0011414,           0.0011414
                  48,             0.02663,            0.020915,           0.0014384,             0.89308,             0.81697,             0.86357,             0.48411,            0.030558,            0.017624,           0.0043538,           0.0010797,           0.0010797,           0.0010797
                  49,            0.026211,            0.020261,           0.0013102,             0.91075,             0.81568,             0.86445,             0.48299,            0.030802,            0.018005,           0.0042015,           0.0010355,           0.0010355,           0.0010355
